A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,x1,R,S,T,U,V,W
0.99751,0.9864799999999999,0.9922,0.99195,0.95688,0.9863799999999999,0.9848600000000001,0.97811,0.9888899999999999,0.9904299999999999,1.0,0.98274,0.9945,0.98619,1.00262,1.0333299999999999,0.9860899999999999,0.9907100000000001,0.9968299999999999,0.9845,0.9868399999999999,0.99671,1.00892
1.0074252494,1.0000046408,0.994164556,1.002008373,0.9352736496,0.9909370756,0.9772864266,0.9534518469,0.9933597828,0.9681057078,1.0,0.9746127402,0.980765955,0.9723143067,1.010490567,1.1000004516,0.9739117884999999,0.9734221104999999,0.9936600806,0.9845,0.9802577772,0.9508214716,1.0000011471999999
1.004936909033982,0.9695744995804562,0.97858599740748,0.99999433617027,0.91366882829424,0.98637876505224,0.9697124567938499,0.945233091979722,0.9888896637774002,0.9633232656034679,0.99261,0.9725855457003841,0.986258244348,0.9896215013592601,0.99474712396614,1.0666704379165202,0.96522449534658,0.96542058075169,0.9920602878702339,0.990712195,0.982453554620928,0.9475316293082641,1.004481152339456
1.0074191031992958,0.9661906845769204,0.966931038178357,1.0059743023005685,0.90649652799213,1.009114795586694,0.9722240120569462,0.9480026249392228,1.0000047835982582,0.9697004656217628,0.9963025092,0.97766244224894,0.9999968216917676,0.9896215013592601,0.9921209915588692,1.1000038891014112,0.9756585721412766,0.9614237395473779,1.0016039078395456,0.9829251971473,0.9956086077173024,0.9344177915586376,1.0089209590327963
1.0197902097865832,0.9864806889530356,0.9610907747077596,1.0079862509051694,0.8848947157300776,1.0227378453271143,0.9646503870030226,0.958904655126024,1.0021647939308302,0.9744810889172784,1.011037823311068,0.9725785975492456,0.9917568478810276,0.999992734693505,0.9973693116042158,1.1333340069411841,0.9791319166580996,0.9627793470201398,0.9920586225978346,0.9844978774627358,0.9999992416773356,0.9049088777012158,1.0178801771490078
1.0346485531431735,1.0101167662603503,0.9708074024400551,1.0220174195177691,0.8848947157300776,1.013666160639063,0.9697051550309184,0.9698937024737682,1.013198628312009,0.9872467911820948,1.0221187978545574,0.9776554578284526,1.0054926802241797,1.0103626593522768,0.9868769864461396,1.1333340069411841,0.9930453811938112,0.9747081831297192,1.0000050121648434,0.9922852556734659,0.9912292483278254,0.9245815967024402,1.0178801771490078
1.0494750669097153,1.0202583385936042,0.9785835697336002,1.032022970054848,0.8993273485436352,1.0363621459757717,0.9873925770586824,1.0082239015955314,1.0375052634052138,1.0159559278696702,1.0774767519463602,1.0050591403113842,1.0054926802241797,1.0415424510198878,0.9947522647979798,1.1333340069411841,1.0104336058185146,0.9946409654747221,1.0047750360728696,0.9922852556734659,0.9846474861189288,0.9704963187946836,1.0625040441152205
1.0544495787268673,1.0067297130238528,0.9844257136449098,1.0280600018498374,0.9208392587207987,1.0454717692388986,0.9848549781356416,1.0109965173249191,1.0242355710862612,1.014360877062915,1.0590088004179996,0.9969382624576684,1.0302177452308925,1.0276691055723028,1.002620755212532,1.1000026537970435,0.9982578808684016,0.9867136769798884,1.017495488029552,0.998417578553528,0.9780700409116544,0.9442638032976632,1.071418453045347
1.0544495787268673,1.0168775485311334,1.0058271286595502,1.0260450042462117,0.9640450367399788,1.063652523305963,0.9823435979413956,1.0520935257541773,1.050712060598841,1.0335018668130918,1.0848592052362032,1.0131783867531037,1.0439505477748199,1.0449750533101403,1.0472574312345937,1.133332734207094,1.0086896757234765,1.0080069581291144,1.033409117462334,1.004627735892131,1.0006732395571225,0.970495451753272,1.0982039143714806
1.0693067732911288,1.0270158176899888,1.0077884915604365,1.0220229078295666,0.9568725416666332,1.045474701682664,0.9823435979413956,1.0410991484100462,1.0463095770649318,1.035093459687984,1.0959030719455076,1.0121652083663506,1.0164737693573869,1.0380364189561613,1.044628815082195,1.1000014184940634,1.006954729481232,0.9960015952577967,1.0413560335756191,1.0062050014374817,1.0029147476137306,0.9901576896057932,1.0848058266161484
