A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,x7,R,S,T,U,V,W,X,Y,Z,x1,x2,x3,x4,x5,x6,a,b,c,d
1.01515,1.02765,1.04183,1.02083,1.00637,1.04938,1.00847,1.01983,1.05426,0.99751,1.04065,1.0,1.0,1.01026,1.0122,1.0574700000000001,1.01935,1.00429,1.01357,1.01515,0.9968299999999999,1.0534,0.9333299999999999,0.99461,1.02857,1.0,1.03148,1.03377,1.0101799999999999,1.01495,1.00775,1.00526,1.01176,1.00578,0.99697,0.9975200000000001
1.0303061895,1.069125954,1.0304219615,1.0156237670000001,1.0111502575,0.9999961772,1.016941148,1.0283251839,1.1007739512,1.00249755,1.0325225235000002,1.00157,1.02187,1.0076939396,1.00000299,1.0919540967,1.032254971,1.0000016817,1.0180905222,0.9999938105,0.9999999194,1.0582561739999998,0.9333299999999999,1.0094396351000001,1.0539653933000002,0.98,1.0407426904000001,1.0363647626999999,1.0228981662000003,1.01495,1.0096848799999998,1.00526,1.0313679087999998,1.0154153724,0.9878776336,0.9999938495999999
1.0303061895,1.04377697763066,1.00760841927239,1.01302377015648,0.996822258351225,0.98764622441158,1.0141140516085598,1.0226591121367108,1.0697651489946958,1.00249755,1.0325225235000002,0.9827004212,1.000001982,0.9897469105357242,0.993902971761,1.0804558200617491,1.01290019029375,0.9857116576685068,1.013570200281432,1.18181268512511,0.958729922726362,1.0388371732070998,0.9333299999999999,0.987878004494264,1.022219955653804,0.98,1.0203753559488722,0.99480653571573,1.0203511497661624,0.986714091,0.9961147152127998,0.9894673654,1.0039128950677438,1.0154153724,1.015152935063696,0.997513864852992
1.055558994204645,1.050686781222575,1.0342294337095663,1.0156272412457819,1.0159313410438178,0.98764622441158,1.0084654363411,1.0297461397838186,1.0697651489946958,1.00249755,0.9918721117498052,1.00942987265664,1.0079519977569,0.9769296880442864,0.9817077822974926,1.091951869987206,1.0193523645059213,1.0007141890982216,1.013570200281432,1.2121143623717179,0.9714330942024862,1.0194213064398592,0.9333299999999999,1.0148371952369124,1.0158719697291938,0.9849979999999999,1.0314872435751552,1.03116671459614,1.0330749286037464,0.98338886451333,1.0038644876971552,1.0052592645517842,1.0039128950677438,1.01734466160756,1.0181882423395363,1.0197883494551592
1.088281323024989,1.0345587391308086,1.0380353980256174,1.020837408993373,1.019111206141285,1.0370285356321591,1.0367125532130144,1.0339989913411256,1.1317794346819183,1.0199510323455,1.0650425174335885,1.053451109403196,1.0119233286280622,0.9820585689065188,0.9999969982816947,1.1206920432052692,1.0516148668425336,1.0250015224676354,1.0294123025118307,1.3939315167274755,0.9777862666385704,1.0436937277461924,1.0666655238,1.0134874617672474,0.9333323721886968,1.0800010570999998,1.0425963611884597,1.0259696343545754,1.02798186920573,0.970103280953755,1.015489238464688,1.0026254852786582,1.0196040536176527,1.0327574332309144,1.0303046824233768,1.0296904943283691
1.0933418311770553,1.050687509873858,1.0266273890013158,1.0312499505651054,1.025480651179668,0.9999962466247349,1.0310624697980035,1.0325824127229883,1.116274056426776,1.0324148339607615,1.0650425174335885,1.0628900313434486,1.0178835570336815,0.9871849146362108,1.0121969616607314,1.1494265871930525,1.0838678948085942,1.0696403387711009,1.0271475954463047,1.3333233743801651,0.9555611847978758,1.0582532552482518,0.9999989285625,1.02157509171215,0.9460350257741847,1.059999437522508,1.0388951441062406,1.0389584099255045,1.0330703794582985,0.9750896118178572,1.0348647731345944,0.9894710389118022,1.0313702843964003,1.02312180637887,1.0060616132459548,1.0321617515147572
1.100929623485424,1.0483865042272342,1.0266273890013158,1.0390668251903887,1.0350381308486627,0.9999962466247349,1.0367126921324965,1.0311677748175578,1.1937881269050512,1.0349132778589472,1.0975582654908358,1.0817563293997947,1.031798025258332,1.0076986171623512,1.024393935048743,1.1724151189369136,1.1225728173322091,1.082850396954924,1.0497756569739871,1.3333233743801651,0.9809600010898034,1.0388343080144464,0.9333289999952382,1.0054035580103466,0.9714360662162218,1.059999437522508,1.0388951441062406,1.041555805950318,1.022894636220634,0.9534913769160918,1.0426159102853725,1.0052629966928346,1.0548958405834823,1.0269789755889185,1.0242411465973091,1.0321617515147572
1.1034617616194404,1.0460800539179342,1.0266273890013158,1.020841593076549,1.0302562546841418,0.9999962466247349,1.033892833609896,1.0184225411208128,1.2092954346735478,1.0349132778589472,1.1138131034027547,1.0817563293997947,1.0238428624835902,1.0076986171623512,0.981707439775262,1.1954061794192663,1.1032196619614016,1.0749889030730313,1.0452511238924291,1.3030169340805042,0.9936536235039054,1.0000026815808665,0.999996690464898,1.0215805012587331,0.974612662152749,1.059999437522508,1.0333370550852723,1.0389623319935015,1.015263842234428,0.9468455420189864,1.0542410776850544,1.010530574795505,1.0039127246080828,1.0269789755889185,1.012124373833063,1.0445373709154189
1.0806863108596152,1.0299494994865197,1.0076142497570115,1.0364706778665511,1.0318531518789025,0.9876462929789191,1.0621387858241185,1.0247978662282289,1.2092954346735478,1.0374074188585871,1.0894205964382346,1.0786084184812414,1.021856607330372,1.0205165435726564,0.9878038429762664,1.2413815010797309,1.1483854749221014,1.0928444687530745,1.0429933814648211,1.2727087601937916,0.9746052835413356,1.0048526945865337,0.999996690464898,1.0188835287354099,0.9619134591648988,1.059999437522508,1.029637708428067,1.064936390293339,1.0178121544784364,0.9368752584615264,1.0464924057640692,1.0052657105008205,0.994104497288662,1.0269789755889185,1.009098121955302,1.027208495931932
1.0958699535271927,0.9953843942837521,0.9391770899135152,1.005221086928875,1.0254866179318094,1.0123374503033922,1.0395364724617813,1.0170094024448944,1.1627859322560028,1.0224480038786463,1.0650284692839826,1.0377291594208025,0.9920388315284718,1.000004161046846,0.9634149660931824,1.1609275659947538,1.09032310531004,1.0574909501889125,1.0226341506586278,1.1211927822927208,0.9746052835413356,0.9902923790419748,0.999996690464898,1.0148385611263304,0.9396932582581896,1.0500036428266708,1.014821221803787,1.0259703677725058,1.007634032933652,0.9186061909215268,1.042620383862742,0.9894729861888524,0.9980212690079792,1.0289096960630255,0.9697029312741672,1.02225735098154
